Trait,Pop,Loc,QTLName,QTLest,var
SDWT,Population 202,Combined,6@58.7,-0.458600486,10.50502672
SDWT,Population 202,Combined,8@133.3,-0.253562141,3.224362774
SDWT,Population 202,Combined,13@9.7,-0.499434596,11.98680857
SDWT,Population 202,Ply,6@12.8,-0.352436415,3.485151932
SDWT,Population 202,Ply,9@9.8,0.261475554,1.83749206
SDWT,Population 202,Ply,15@8.9,-0.476586906,6.282721761
SDWT,Population 202,Cas,12@41.8,0.472302069,7.5135136
SDWT,Population 202,Cas,13@0.0,-0.573708098,11.24313473
SDWT,Population 202,Cas,20@1.8,0.239782007,2.088566543
SDWT,Population 201,Combined,15@107.2,-0.387491504,8.438215921
SDWT,Population 201,Combined,17@0.0,-0.26139443,3.750361373
SDWT,Population 201,Combined,20@33.8,0.407039049,9.251171253
SDWT,Population 201,Ply,14@16.9,-0.640691856,13.99541903
SDWT,Population 201,Ply,20@49.4,0.480931918,7.460080451
SDWT,Population 201,Cas,12@0.0,0.435121891,5.308620671
SDWT,Population 201,Cas,18@0.0,-0.451908724,5.780630476
SDWT,Population 201,Cas,20@41.7,0.656125815,11.67750177
SDWT,Population 201,Cla,19@14.8,-0.299527195,4.765285459
Oil,Population 202,Combined,2@12.2,0.215651073,4.60069398
Oil,Population 202,Combined,2@122.5,0.228646093,5.20255571
Oil,Population 202,Combined,14@6.5,0.300313892,9.073852586
Oil,Population 202,Combined,15@8.9,0.23753552,5.565064538
Oil,Population 202,Combined,18@66.2,0.24709646,6.360537956
Oil,Population 202,Combined,20@0.0,0.32329631,10.92113906
Oil,Population 202,Ply,2@12.2,0.40663355,8.503943909
Oil,Population 202,Ply,14@0.0,0.50382627,14.00804918
Oil,Population 202,Cas,15@2.7,0.257693654,5.25400701
Oil,Population 202,Cas,18@66.2,0.293929912,6.898518432
Oil,Population 202,Cla,18@66.2,0.212320766,4.917641174
Oil,Population 202,Cla,20@0.0,0.308817709,10.60864616
Oil,Population 201,Combined,8@0.0,0.156086105,4.033913664
Oil,Population 201,Combined,15@107.2,0.15509383,3.492785806
Oil,Population 201,Combined,17@0.0,0.191905941,5.228475826
Oil,Population 201,Combined,18@95.8,0.114135937,1.959174633
Oil,Population 201,Combined,20@33.8,0.538268431,42.92045281
Oil,Population 201,Ply,14@16.9,0.519135952,19.28748991
Oil,Population 201,Ply,15@33.7,-0.262043918,4.949958475
Oil,Population 201,Cas,15@107.2,0.295459898,7.375411336
Oil,Population 201,Cas,17@26.8,0.267195271,5.824313481
Oil,Population 201,Cas,20@41.7,0.595697078,28.64249944
Oil,Population 201,Cla,4@153.2,0.161169544,3.760243012
Oil,Population 201,Cla,14@69.4,-0.042266395,0.241286553
Oil,Population 201,Cla,17@3.7,0.223292095,7.501492432
Oil,Population 201,Cla,20@33.8,0.491760011,35.84066368
Pro,Population 202,Combined,2@12.2,-0.541125518,7.406238639
Pro,Population 202,Combined,2@147.0,-0.411551488,4.378229416
Pro,Population 202,Combined,14@6.5,-0.727135107,13.88905308
Pro,Population 202,Combined,20@0.0,-0.714154002,13.38695042
Pro,Population 202,Ply,2@12.2,-0.949974627,9.119013157
Pro,Population 202,Ply,14@24.2,-1.528066851,24.58826518
Pro,Population 202,Cas,20@1.8,-0.522745796,6.789902249
Pro,Population 202,Cla,2@0.0,-0.429555824,5.336887683
Pro,Population 202,Cla,20@0.0,-0.736782369,17.42319802
Pro,Population 201,Combined,15@107.2,-0.452289602,7.488059914
Pro,Population 201,Combined,20@33.8,-1.038879245,39.99189539
Pro,Population 201,Ply,14@16.9,-1.445236242,23.24388784
Pro,Population 201,Ply,20@28.3,-0.789814598,6.801328826
Pro,Population 201,Cas,4@143.2,-0.264907721,1.496560596
Pro,Population 201,Cas,14@16.9,0.409066427,3.415384962
Pro,Population 201,Cas,15@37.1,-0.070300975,0.15743483
Pro,Population 201,Cas,15@107.2,-0.786839179,12.71288311
Pro,Population 201,Cas,20@41.7,-1.046019016,22.37395078
Pro,Population 201,Cla,20@33.8,-1.063055935,44.00414724
